productCode	 colorId	 imgDetailColor
MBL253	603	https://monatabluelight.com/images/products/2024/04/30/small/DSCF0784 vuong_1714473621_1.jpg
MBL253	603	https://monatabluelight.com/images/products/2024/04/30/small/Mặt trước_1714473581_1.jpg
MBL253	603	https://monatabluelight.com/images/products/2024/04/30/small/Chi tiết 1_1714473582_1.jpg
MBL253	603	https://monatabluelight.com/images/products/2024/04/30/small/Chi tiết 2_1714473582_1.jpg
MBL253	603	https://monatabluelight.com/images/products/2024/04/30/small/Chi tiết 3_1714473581_1.jpg
MBL252	601	https://monatabluelight.com/images/products/2024/03/06/small/6_1709718818_1.jpg
MBL252	601	https://monatabluelight.com/images/products/2024/03/06/small/1.1_1709718817_1.jpg
MBL252	601	https://monatabluelight.com/images/products/2024/03/06/small/3_1709718819_1.jpg
MBL252	601	https://monatabluelight.com/images/products/2024/03/06/small/5.jpg
MBL252	601	https://monatabluelight.com/images/products/2024/03/06/small/4.jpg
MBL251	597	https://monatabluelight.com/images/products/2024/02/05/small/4.jpg
MBL251	597	https://monatabluelight.com/images/products/2024/02/05/small/2_1707115489_1.jpg
MBL251	597	https://monatabluelight.com/images/products/2024/02/05/small/trắng trước.jpg
MBL251	597	https://monatabluelight.com/images/products/2024/02/05/small/trắng sau.jpg
MBL251	598	https://monatabluelight.com/images/products/2024/02/05/small/5.jpg
MBL251	598	https://monatabluelight.com/images/products/2024/02/05/small/2.jpg
MBL251	598	https://monatabluelight.com/images/products/2024/02/05/small/RCT đỏ trước.jpg
MBL251	598	https://monatabluelight.com/images/products/2024/02/05/small/RCT đỏ sau.jpg
MBL251	599	https://monatabluelight.com/images/products/2024/02/05/small/RCT cát trước.jpg
MBL250	595	https://monatabluelight.com/images/products/2024/02/05/small/áo xah rồng.jpg
MBL250	596	https://monatabluelight.com/images/products/2024/02/05/small/áo trắng rồng vô tri.jpg
MBL248	589	https://monatabluelight.com/images/products/2024/02/05/small/ỏ heart trước_1707112910_1.jpg
MBL248	589	https://monatabluelight.com/images/products/2024/02/05/small/ỏ heart sau_1707112910_1.jpg
MBL248	589	https://monatabluelight.com/images/products/2024/02/05/small/15.jpg
MBL248	589	https://monatabluelight.com/images/products/2024/02/05/small/15_1707113011_1.jpg
MBL248	590	https://monatabluelight.com/images/products/2024/02/05/small/en heart trước_1707113041_1.jpg
MBL248	590	https://monatabluelight.com/images/products/2024/02/05/small/en heart sau_1707113040_1.jpg
MBL248	591	https://monatabluelight.com/images/products/2024/02/05/small/tee sky truoc_1707113041_1.jpg
MBL248	591	https://monatabluelight.com/images/products/2024/02/05/small/tee sky sau_1707113041_1.jpg
MBL247	586	https://monatabluelight.com/images/products/2024/02/05/small/tee sky truoc.jpg
MBL247	586	https://monatabluelight.com/images/products/2024/02/05/small/tee sky sau.jpg
MBL247	587	https://monatabluelight.com/images/products/2024/02/05/small/đen heart trước.jpg
MBL247	587	https://monatabluelight.com/images/products/2024/02/05/small/đen heart sau.jpg
MBL247	588	https://monatabluelight.com/images/products/2024/02/05/small/đỏ heart trước.jpg
MBL247	588	https://monatabluelight.com/images/products/2024/02/05/small/đỏ heart sau.jpg
MBL246	581	https://monatabluelight.com/images/products/2024/01/19/small/0.jpg
MBL246	581	https://monatabluelight.com/images/products/2024/01/19/small/1x.jpg
MBL246	581	https://monatabluelight.com/images/products/2024/01/19/small/2x.jpg
MBL246	581	https://monatabluelight.com/images/products/2024/01/19/small/3.jpg
MBL246	582	https://monatabluelight.com/images/products/2024/01/19/small/6x.jpg
MBL246	582	https://monatabluelight.com/images/products/2024/01/19/small/5x.jpg
MBL196	482	https://monatabluelight.com/images/products/2023/12/25/small/den1.jpg
MBL196	482	https://monatabluelight.com/images/products/2023/12/25/small/den2.jpg
MBL196	482	https://monatabluelight.com/images/products/2023/12/25/small/cardiden1.jpg
MBL196	482	https://monatabluelight.com/images/products/2023/12/25/small/cardiden3.jpg
MBL196	482	https://monatabluelight.com/images/products/2023/12/25/small/cardiden2.jpg
MBL196	482	https://monatabluelight.com/images/products/2022/12/17/small/3.JPG
MBL204	494	https://monatabluelight.com/images/products/2023/12/25/small/cardibe2.jpg
MBL204	494	https://monatabluelight.com/images/products/2023/12/25/small/cardibe1.jpg
MBL244	574	https://monatabluelight.com/images/products/2023/12/22/small/4.png
MBL244	574	https://monatabluelight.com/images/products/2023/12/22/small/2.png
MBL244	574	https://monatabluelight.com/images/products/2023/12/22/small/3.png
MBL244	574	https://monatabluelight.com/images/products/2023/12/22/small/6.png
MBL243	572	https://monatabluelight.com/images/products/2023/12/25/small/swt 4season đen.jpg
MBL243	572	https://monatabluelight.com/images/products/2023/12/25/small/4season5.jpg
MBL243	573	https://monatabluelight.com/images/products/2023/12/25/small/swt 4season kem.jpg
MBL243	573	https://monatabluelight.com/images/products/2023/12/25/small/4season4.jpg
MBL243	573	https://monatabluelight.com/images/products/2023/12/25/small/4season2.jpg
MBL245	578	https://monatabluelight.com/images/products/2024/01/06/small/swt ocean_1704537890_1.jpg
MBL245	578	https://monatabluelight.com/images/products/2024/01/06/small/swt ocean.jpg
MBL241	569	https://monatabluelight.com/images/products/2023/12/21/small/swt kem holiday truoc.jpg
MBL241	569	https://monatabluelight.com/images/products/2023/12/21/small/swt kem holiday sau.png
MBL241	569	https://monatabluelight.com/images/products/2023/12/25/small/holidaybe2.jpg
MBL241	569	https://monatabluelight.com/images/products/2023/12/25/small/holidaybe1.jpg
MBL240	566	https://monatabluelight.com/images/products/2023/12/21/small/swt kem basic.jpg
MBL240	566	https://monatabluelight.com/images/products/2023/12/25/small/basic be5.jpg
MBL240	566	https://monatabluelight.com/images/products/2023/12/25/small/basic be3.jpg
MBL240	567	https://monatabluelight.com/images/products/2023/12/21/small/swt đen basic.jpg
MBL240	567	https://monatabluelight.com/images/products/2023/12/25/small/basicden1.jpg
MBL240	567	https://monatabluelight.com/images/products/2023/12/25/small/basicden2.jpg
MBL239	563	https://monatabluelight.com/images/products/2023/12/21/small/swt 24 đen trước.jpg
MBL239	563	https://monatabluelight.com/images/products/2023/12/21/small/swt 24 đen sau.jpg
MBL238	561	https://monatabluelight.com/images/products/2023/12/21/small/swt 24 kem sau.jpg
MBL238	561	https://monatabluelight.com/images/products/2023/12/21/small/swt 24 kem trước.jpg
MBL238	561	https://monatabluelight.com/images/products/2023/12/25/small/24be1.jpg
MBL238	561	https://monatabluelight.com/images/products/2023/12/25/small/24be2.jpg
MBL238	561	https://monatabluelight.com/images/products/2023/12/25/small/24be3.jpg
MBL237	557	https://monatabluelight.com/images/products/2023/12/21/small/đen trước.jpg
MBL237	557	https://monatabluelight.com/images/products/2023/12/21/small/đen sau.jpg
MBL237	557	https://monatabluelight.com/images/products/2024/01/04/small/4.jpg
MBL237	557	https://monatabluelight.com/images/products/2024/01/04/small/2.jpg
MBL237	558	https://monatabluelight.com/images/products/2024/01/19/small/trắng trước.jpg
MBL237	558	https://monatabluelight.com/images/products/2023/12/21/small/trắng sau.jpg
MBL237	558	https://monatabluelight.com/images/products/2024/01/19/small/1.jpg
MBL237	558	https://monatabluelight.com/images/products/2024/01/19/small/2.jpg
MBL237	558	https://monatabluelight.com/images/products/2024/01/04/small/6.jpg
MBL237	558	https://monatabluelight.com/images/products/2024/01/19/small/3_1705644804_1.jpg
MBL237	559	https://monatabluelight.com/images/products/2023/12/21/small/xanh trước.jpg
MBL237	559	https://monatabluelight.com/images/products/2023/12/21/small/xanh mặt sau.jpg
MBL237	559	https://monatabluelight.com/images/products/2024/01/06/small/8.jpg
MBL237	559	https://monatabluelight.com/images/products/2024/01/06/small/10.jpg
MBL237	559	https://monatabluelight.com/images/products/2024/01/06/small/9.jpg
MBL237	559	https://monatabluelight.com/images/products/2024/01/04/small/8.jpg
MBL236	555	https://monatabluelight.com/images/products/2023/12/21/small/trangmoi.jpg
MBL236	555	https://monatabluelight.com/images/products/2023/12/21/small/5_1703154835_1.jpg
MBL236	556	https://monatabluelight.com/images/products/2023/12/21/small/somi navy.jpg
MBL236	556	https://monatabluelight.com/images/products/2023/12/21/small/2_1703154836_1.jpg
MBL236	556	https://monatabluelight.com/images/products/2023/12/21/small/1_1703154838_1.jpg
MBL236	556	https://monatabluelight.com/images/products/2023/12/21/small/3_1703154838_1.jpg
MBL236	556	https://monatabluelight.com/images/products/2023/12/21/small/4.jpg
MBL235	553	https://monatabluelight.com/images/products/2023/12/21/small/1.jpg
MBL235	553	https://monatabluelight.com/images/products/2023/12/12/small/cream.jpg
MBL235	553	https://monatabluelight.com/images/products/2023/12/12/small/DSCF9096.jpg
MBL235	553	https://monatabluelight.com/images/products/2023/12/12/small/DSCF9099.jpg
MBL235	553	https://monatabluelight.com/images/products/2023/12/12/small/DSCF9098.jpg
MBL234	550	https://monatabluelight.com/images/products/2023/12/02/small/Bản sao tee season trang.jpg
MBL234	550	https://monatabluelight.com/images/products/2023/12/02/small/1.jpg
MBL234	550	https://monatabluelight.com/images/products/2023/12/02/small/2.jpg
MBL234	550	https://monatabluelight.com/images/products/2023/12/02/small/tee.jpg
MBL234	550	https://monatabluelight.com/images/products/2023/12/02/small/4.jpg
MBL234	551	https://monatabluelight.com/images/products/2023/12/21/small/3_1703155103_1.jpg
MBL234	551	https://monatabluelight.com/images/products/2023/12/21/small/5_1703155104_1.jpg
MBL234	551	https://monatabluelight.com/images/products/2023/12/21/small/4_1703155104_1.jpg
MBL234	551	https://monatabluelight.com/images/products/2023/12/02/small/Bản sao tee season đen.jpg
MBL233	549	https://monatabluelight.com/images/products/2023/11/19/small/besnowtruoc.jpg
MBL233	549	https://monatabluelight.com/images/products/2023/11/19/small/bénowsau.jpg
MBL233	549	https://monatabluelight.com/images/products/2023/11/19/small/DSCF9095.jpg
MBL233	549	https://monatabluelight.com/images/products/2023/11/19/small/1.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/xamcamptruoc_1700382630_1.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/xamsau_1700382630_1.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/DSCF9085_1700382631_1.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/DSCF9093_1700382631_1.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/4.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/5.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/6.jpg
MBL232	547	https://monatabluelight.com/images/products/2023/11/19/small/7.jpg
MBL231	546	https://monatabluelight.com/images/products/2023/10/09/small/0.jpg
MBL231	546	https://monatabluelight.com/images/products/2023/10/09/small/1.jpg
MBL231	546	https://monatabluelight.com/images/products/2023/10/09/small/3.jpg
MBL231	546	https://monatabluelight.com/images/products/2023/10/09/small/4.jpg
MBL230	545	https://monatabluelight.com/images/products/2023/10/03/small/IMG_4255_1696337646_1.jpg
MBL230	545	https://monatabluelight.com/images/products/2023/10/03/small/IMG_4261_1696337645_1.jpg
MBL230	545	https://monatabluelight.com/images/products/2023/10/03/small/retro xam1.jpg
MBL230	545	https://monatabluelight.com/images/products/2023/10/03/small/retro xam2.jpg
MBL230	545	https://monatabluelight.com/images/products/2023/10/03/small/retro xam3.jpg
MBL230	545	https://monatabluelight.com/images/products/2023/10/03/small/retro xam4.jpg
MBL229	543	https://monatabluelight.com/images/products/2023/10/20/small/hoodie zip3.jpg
MBL229	543	https://monatabluelight.com/images/products/2023/10/20/small/hoodiezip 2.jpg
MBL229	543	https://monatabluelight.com/images/products/2023/08/14/small/hoozip.jpg
MBL229	543	https://monatabluelight.com/images/products/2023/08/14/small/hoo4.jpg
MBL229	543	https://monatabluelight.com/images/products/2023/08/14/small/hoo2.jpg
MBL229	543	https://monatabluelight.com/images/products/2023/08/14/small/hoo3.jpg
MBL228	541	https://monatabluelight.com/images/products/2023/08/14/small/áo hồng rose in garden.jpg
MBL228	541	https://monatabluelight.com/images/products/2023/08/14/small/0_1692006193_1.jpg
MBL228	541	https://monatabluelight.com/images/products/2023/08/14/small/hong1.jpg
MBL228	541	https://monatabluelight.com/images/products/2023/08/19/small/z4607170745327_cd4da0c21ff85a0c7491f3c167e87c6a.jpg
MBL227	540	https://monatabluelight.com/images/products/2023/08/14/small/xanh1.jpg
MBL227	540	https://monatabluelight.com/images/products/2023/08/14/small/xanh3.jpg
MBL227	540	https://monatabluelight.com/images/products/2023/08/14/small/xanh.jpg
MBL227	540	https://monatabluelight.com/images/products/2023/08/14/small/xanh2.jpg
MBL225	536	https://monatabluelight.com/images/products/2023/07/13/small/17.jpg
MBL225	536	https://monatabluelight.com/images/products/2023/07/13/small/18.jpg
MBL225	536	https://monatabluelight.com/images/products/2023/06/13/small/kem.jpg
MBL225	536	https://monatabluelight.com/images/products/2023/06/13/small/kem2.jpg
MBL225	536	https://monatabluelight.com/images/products/2023/06/13/small/kem3.jpg
MBL225	536	https://monatabluelight.com/images/products/2023/06/13/small/kem4.jpg
MBL225	537	https://monatabluelight.com/images/products/2023/06/13/small/xanh.jpg
MBL225	537	https://monatabluelight.com/images/products/2023/06/13/small/xanh3.jpg
MBL225	537	https://monatabluelight.com/images/products/2023/06/13/small/xanh 2.jpg
MBL225	537	https://monatabluelight.com/images/products/2023/06/13/small/xanh4.jpg
MBL224	535	https://monatabluelight.com/images/products/2023/06/13/small/DSCF25921.jpg
MBL224	535	https://monatabluelight.com/images/products/2023/06/13/small/DSCF2594.jpg
MBL224	535	https://monatabluelight.com/images/products/2023/06/13/small/DSCF2595.jpg
MBL224	535	https://monatabluelight.com/images/products/2023/06/13/small/DSCF2592.jpg
MBL222	532	https://monatabluelight.com/images/products/2023/05/17/small/6_1684315635_1.jpg
MBL222	532	https://monatabluelight.com/images/products/2023/05/17/small/25.jpg
MBL222	532	https://monatabluelight.com/images/products/2023/05/11/small/qnau.jpg
MBL222	532	https://monatabluelight.com/images/products/2023/05/11/small/qnau1.jpg
MBL222	532	https://monatabluelight.com/images/products/2023/05/11/small/qnau2.jpg
MBL222	532	https://monatabluelight.com/images/products/2023/05/11/small/qnau3.jpg
MBL222	533	https://monatabluelight.com/images/products/2023/05/17/small/7_1684315653_1.jpg
MBL222	533	https://monatabluelight.com/images/products/2023/05/11/small/qxanh.jpg
MBL222	533	https://monatabluelight.com/images/products/2023/05/11/small/qxanh1.jpg
MBL222	533	https://monatabluelight.com/images/products/2023/05/11/small/qxanh3.jpg
MBL222	533	https://monatabluelight.com/images/products/2023/05/11/small/qxanh2.jpg
MBL222	533	https://monatabluelight.com/images/products/2023/05/11/small/qxanh4.jpg
